 0.00    0.0000
 0.05    0.0001
 0.10    0.0005
 0.15    0.0017
 0.20    0.0040
 0.25    0.0078
 0.30    0.0133
 0.35    0.0210
 0.40    0.0310
 0.45    0.0436
 0.50    0.0588
 0.60    0.0975
 0.70    0.1464
 0.80    0.2038
 0.90    0.2671
 1.00    0.3333
 1.20    0.4635
 1.40    0.5784
 1.60    0.6719
 1.80    0.7446
 2.00    0.8000
 2.20    0.8419
 2.40    0.8736
 2.60    0.8978
 2.80    0.9165
 3.00    0.9310
 3.20    0.9425
 3.40    0.9516
 3.60    0.9589
 3.80    0.9648
 4.00    0.9697
 4.20    0.9737
 4.40    0.9771
 4.60    0.9799
 4.80    0.9822
 5.00    0.9843
 5.50    0.9881
 6.00    0.9908
 6.50    0.9928
 7.00    0.9942
 7.50    0.9953
 8.00    0.9961
 8.50    0.9968
 9.00    0.9973
 9.50    0.9977
10.00    0.9980
